train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps
0.0003,-16.80723762512207,0.020589139312505722,0.5166810750961304,234.09905138000002,-0.23549413681030273,9590,95699,479,200.0,9,95800
0.0003,-17.156204223632812,0.020484406501054764,5.491623878479004,231.22491096,0.10446029901504517,9610,95899,480,200.0,9,96000
0.0003,-16.83230972290039,0.020407361909747124,0.9782576560974121,228.73599736,-2.6192591190338135,9630,96099,481,200.0,9,96200
0.0003,-17.38123321533203,0.02049839496612549,0.925660252571106,226.07067112999997,-5.250359058380127,9650,96299,482,200.0,9,96400
0.0003,-17.11813735961914,0.02032337337732315,1.3605320453643799,223.47675692,-0.6271876692771912,9670,96499,483,200.0,9,96600
0.0003,-17.112728118896484,0.02010996825993061,0.6211382150650024,221.06796741999995,0.019466698169708252,9690,96699,484,200.0,9,96800
0.0003,-17.159589767456055,0.019986789673566818,0.49432578682899475,221.01641017999995,-0.55167156457901,9710,96899,485,200.0,9,97000
0.0003,-16.664997100830078,0.019884703680872917,0.4221619963645935,221.04805331999995,1.2157847881317139,9730,97099,486,200.0,9,97200
0.0003,-17.153507232666016,0.019798077642917633,0.5436551570892334,220.86851943999997,-2.8087100982666016,9750,97299,487,200.0,9,97400
0.0003,-16.764427185058594,0.01986115053296089,0.3514970541000366,219.94615152000003,0.8410823345184326,9770,97499,488,200.0,9,97600
0.0003,-16.47142791748047,0.01988745853304863,1.261751413345337,219.93621610000005,-2.8914401531219482,9790,97699,489,200.0,9,97800
0.0003,-16.468751907348633,0.01982150413095951,0.6294654607772827,219.86629368,0.4775526523590088,9810,97899,490,200.0,9,98000
0.0003,-16.180320739746094,0.01965131238102913,0.4900805950164795,219.90197484,-0.28093063831329346,9830,98099,491,200.0,9,98200
0.0003,-15.916586875915527,0.019643820822238922,0.4561988115310669,219.84889526000003,2.396989583969116,9850,98299,492,200.0,9,98400
0.0003,-16.367351531982422,0.019352367147803307,0.5269975662231445,219.83662793000002,-1.3706316947937012,9870,98499,493,200.0,9,98600
0.0003,-16.46552848815918,0.01941288448870182,0.40931251645088196,219.99365369,0.7360563278198242,9890,98699,494,200.0,9,98800
0.0003,-16.56688690185547,0.01962934620678425,0.6060887575149536,220.01897456999998,-1.0462335348129272,9910,98899,495,200.0,9,99000
0.0003,-16.72455406188965,0.019732650369405746,0.6425202488899231,220.02825430000001,-0.4160620868206024,9930,99099,496,200.0,9,99200
0.0003,-16.14181900024414,0.019626518711447716,0.655983030796051,220.05805263,0.8561708331108093,9950,99299,497,200.0,9,99400
0.0003,-16.962236404418945,0.019467953592538834,0.339771032333374,220.05775637000002,-3.3255443572998047,9970,99499,498,200.0,9,99600
0.0003,-16.287269592285156,0.019485492259263992,0.5126566290855408,220.4132716,-1.5017951726913452,9990,99699,499,200.0,9,99800
0.0003,-17.213817596435547,0.019552823156118393,0.38860902190208435,220.44412631999995,-3.458123207092285,10010,99899,500,200.0,9,100000
0.0003,-16.208192825317383,0.019578026607632637,0.4409087300300598,220.20983454999995,-1.6950547695159912,10030,100099,501,200.0,9,100200
0.0003,-16.612701416015625,0.01938440091907978,0.39304009079933167,220.13588922999995,-0.2478705644607544,10050,100299,502,200.0,9,100400
0.0003,-16.196788787841797,0.01927809976041317,0.3581409454345703,220.166923,1.2659862041473389,10070,100499,503,200.0,9,100600
0.0003,-15.980819702148438,0.019313648343086243,0.3674863576889038,220.23693332,1.1198521852493286,10090,100699,504,200.0,9,100800
