train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss
0.0003,15800,0.01125220488756895,1581,200.0,0.19652143120765686,-33.99613571166992,15699,5.653226291139241,79,9,-2.330326557159424
0.0003,16000,0.010740313678979874,1601,200.0,0.18122749030590057,-32.628509521484375,15899,5.592677525000001,80,9,-2.259758949279785
0.0003,16200,0.010264725424349308,1621,200.0,0.18794220685958862,-28.241374969482422,16099,6.2877856913580255,81,9,-2.1330127716064453
0.0003,16400,0.009821519255638123,1641,200.0,0.21746760606765747,-30.673362731933594,16299,6.774504548780488,82,9,-2.250645875930786
0.0003,16600,0.009418767876923084,1661,200.0,0.192671000957489,-23.440147399902344,16499,6.604179156626507,83,9,-2.4185354709625244
0.0003,16800,0.009041176177561283,1681,200.0,0.18672913312911987,-24.31678009033203,16699,7.19382136904762,84,9,-2.212721586227417
0.0003,17000,0.00869274977594614,1701,200.0,0.2395489364862442,-20.444185256958008,16899,7.143300670588236,85,9,-2.425874710083008
0.0003,17200,0.008383315987884998,1721,200.0,0.22637388110160828,-17.068187713623047,17099,7.010617476744186,86,9,-2.4771461486816406
0.0003,17400,0.00810906570404768,1741,200.0,0.18647387623786926,-14.09884262084961,17299,6.879692609195401,87,9,-2.3421974182128906
0.0003,17600,0.007858077064156532,1761,200.0,0.15389010310173035,-13.508500099182129,17499,7.324157943181818,88,9,-2.5241458415985107
0.0003,17800,0.007617082912474871,1781,200.0,0.19463063776493073,-16.53059959411621,17699,7.205380483146067,89,9,-2.6638741493225098
0.0003,18000,0.007380385883152485,1801,200.0,0.19090516865253448,-11.414373397827148,17899,7.9879412,90,9,-2.528907299041748
0.0003,18200,0.007173533551394939,1821,200.0,0.187886044383049,-14.976777076721191,18099,8.303693186813186,91,9,-2.567702054977417
0.0003,18400,0.006982786115258932,1841,200.0,0.2048797458410263,-11.83545207977295,18299,8.461947097826087,92,9,-2.7800588607788086
0.0003,18600,0.006822851486504078,1861,200.0,0.16451379656791687,-6.384951591491699,18499,9.205938086021506,93,9,-2.3413262367248535
0.0003,18800,0.006691820453852415,1881,200.0,0.21349111199378967,-5.5625386238098145,18699,9.402819085106383,94,9,-2.657499313354492
0.0003,19000,0.006578809581696987,1901,200.0,0.16642561554908752,-6.745038032531738,18899,9.998889010526316,95,9,-2.4198126792907715
0.0003,19200,0.006477009039372206,1921,200.0,0.19013020396232605,-3.1085100173950195,19099,10.39711659375,96,9,-2.6736791133880615
0.0003,19400,0.00639956584200263,1941,200.0,0.14976446330547333,-8.076701164245605,19299,11.088892948453609,97,9,-2.4579625129699707
0.0003,19600,0.006351538468152285,1961,200.0,0.20856830477714539,0.21286790072917938,19499,11.88455236734694,98,9,-2.8088245391845703
0.0003,19800,0.006329522002488375,1981,200.0,0.22419993579387665,-0.6836400032043457,19699,12.336197101010102,99,9,-2.661583423614502
0.0003,20000,0.006346110720187426,2001,200.0,0.20028558373451233,0.8140363097190857,19899,12.89099514,100,9,-2.681875467300415
0.0003,20200,0.006380348466336727,2021,200.0,0.2523256540298462,0.14647911489009857,20099,13.96929608,101,9,-2.6729445457458496
0.0003,20400,0.006417093798518181,2041,200.0,0.19564008712768555,-0.12443625926971436,20299,15.179566620000001,102,9,-2.802464246749878
0.0003,20600,0.006470856722444296,2061,200.0,0.21066534519195557,3.9917736053466797,20499,16.091535309999998,103,9,-2.8015429973602295
0.0003,20800,0.006528705358505249,2082,200.0,0.1815240979194641,1.1879091262817383,20699,16.83243219,104,9,-2.94699764251709
0.0003,21000,0.0066193449310958385,2102,200.0,0.17628386616706848,5.5054030418396,20899,17.85447894,105,9,-2.8304834365844727
0.0003,21200,0.006680330261588097,2122,200.0,0.17482072114944458,2.5140161514282227,21099,19.00188306,106,9,-2.893880844116211
0.0003,21400,0.0067337555810809135,2142,200.0,0.23061122000217438,0.7154122591018677,21299,19.654388369999996,107,9,-2.7216334342956543
0.0003,21600,0.006796475499868393,2162,200.0,0.18072791397571564,3.224849224090576,21499,20.81905783,108,9,-3.012401580810547
0.0003,21800,0.006880453787744045,2182,200.0,0.2258736491203308,0.4600833058357239,21699,22.0378139,109,9,-2.9856812953948975
0.0003,22000,0.0069863563403487206,2202,200.0,0.1957319974899292,0.30238571763038635,21899,22.46936044,110,9,-3.379211187362671
0.0003,22200,0.007111629005521536,2222,200.0,0.20858997106552124,2.5490949153900146,22099,23.074272829999998,111,9,-2.9415829181671143
0.0003,22400,0.007265343330800533,2242,200.0,0.19786337018013,1.641353726387024,22299,24.386310700000003,112,9,-3.225687026977539
0.0003,22600,0.0073816669173538685,2262,200.0,0.21858736872673035,0.2422705888748169,22499,25.57471526,113,9,-3.2822229862213135
0.0003,22800,0.0075522009283304214,2282,200.0,0.30616527795791626,0.7819581031799316,22699,26.765400130000003,114,9,-3.152866840362549
0.0003,23000,0.007668321952223778,2302,200.0,0.1883431226015091,6.207579612731934,22899,27.99167052,115,9,-3.3720543384552
0.0003,23200,0.007821870967745781,2322,200.0,0.26293039321899414,-0.7909058332443237,23099,28.037647859999996,116,9,-4.182707786560059
0.0003,23400,0.007959051057696342,2342,200.0,0.26936888694763184,2.432389736175537,23299,28.549864510000003,117,9,-3.0491654872894287
0.0003,23600,0.008067509159445763,2362,200.0,0.33806779980659485,1.4302722215652466,23499,28.95112171,118,9,-3.488753318786621
0.0003,23800,0.008202497847378254,2382,200.0,0.2122616469860077,-1.3126670122146606,23699,29.79310052,119,9,-3.57084321975708
0.0003,24000,0.008244714699685574,2402,200.0,0.2762407660484314,2.516010046005249,23899,31.136206749999996,120,9,-3.2969746589660645
0.0003,24200,0.008334644138813019,2422,200.0,0.3111991882324219,6.598739147186279,24099,31.945773529999997,121,9,-3.426173448562622
0.0003,24400,0.008360613137483597,2442,200.0,0.21265536546707153,-0.6794036626815796,24299,31.864002949999996,122,9,-3.537668228149414
0.0003,24600,0.008359145373106003,2462,200.0,0.2195393145084381,3.1808719635009766,24499,33.332299979999995,123,9,-3.8481602668762207
0.0003,24800,0.008474939502775669,2482,200.0,0.2641602158546448,0.05099380016326904,24699,34.35161451,124,9,-3.2075138092041016
0.0003,25000,0.00851201731711626,2502,200.0,0.176158145070076,-0.9375892877578735,24899,35.152846450000006,125,9,-3.480172872543335
0.0003,25200,0.008553697727620602,2522,200.0,0.16367259621620178,-0.6257612705230713,25099,35.85420489,126,9,-3.4377217292785645
0.0003,25400,0.008642401546239853,2542,200.0,0.2921445667743683,1.6476881504058838,25299,37.12313692000001,127,9,-3.6872825622558594
0.0003,25600,0.008761893026530743,2562,200.0,0.2500176727771759,0.34561052918434143,25499,37.86800792,128,9,-3.6965432167053223
0.0003,25800,0.008851210586726665,2582,200.0,0.20144996047019958,5.090055465698242,25699,39.388444920000005,129,9,-3.4139180183410645
0.0003,26000,0.0088590607047081,2602,200.0,0.22100424766540527,1.3415347337722778,25899,40.94728496,130,9,-4.084372520446777
0.0003,26200,0.008931451477110386,2622,200.0,0.2024681270122528,0.9122492074966431,26099,43.039505979999994,131,9,-3.798480987548828
0.0003,26400,0.009028415195643902,2642,200.0,0.21609646081924438,2.629678964614868,26299,44.284938499999996,132,9,-3.4826035499572754
0.0003,26600,0.009172591380774975,2662,200.0,0.20902419090270996,-0.6174527406692505,26499,46.62268055,133,9,-3.459747076034546
